ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked
293,Unit_EEDB_Mat_Reinforc_steel_Dome,Unit cost of Material Reinforc steel Superstructure (dome) in EEDB,238.65,dollar/m^3,NULL,NULL,Unit_Mat_Reinforc_steel_Dome
294,Unit_EEDB_Mat_Reinforc_steel_Interior,Unit cost of Material Reinforc steel Interior structure in EEDB,205.66,dollar/m^3,NULL,NULL,Unit_Mat_Reinforc_steel_Interior
295,Unit_EEDB_Mat_Rubbing_surfaces_Superstr,Unit cost of Material Rubbing surfaces Superstructure (shell) in EEDB,0.68,dollar/m^2,NULL,NULL,Unit_Mat_Rubbing_surfaces_Superstr
296,Unit_EEDB_Mat_Rubbing_surfaces_Dome,Unit cost of Material Rubbing surfaces Superstructure (dome) in EEDB,0.47,dollar/m^2,NULL,NULL,Unit_Mat_Rubbing_surfaces_Dome
297,Unit_EEDB_Mat_Rubbing_surfaces_Interior,Unit cost of Material Rubbing surfaces Interior structure in EEDB,0.82,dollar/m^2,NULL,NULL,Unit_Mat_Rubbing_surfaces_Interior
298,Unit_EEDB_Mat_Waterproofing_Substr,Unit cost of Material Waterproofing Substructure (base mat) in EEDB,2.43,dollar/m^2,NULL,NULL,Unit_Mat_Waterproofing_Substr
299,Unit_EEDB_Mat_Waterproofing_Superstr,Unit cost of Material Waterproofing Superstructure (shell) in EEDB,0.45,dollar/m^2,NULL,NULL,Unit_Mat_Waterproofing_Superstr
300,Unit_EEDB_Mat_Waterproofing_Dome,Unit cost of Material Waterproofing Superstructure (dome) in EEDB,0,dollar/m^2,NULL,NULL,Unit_Mat_Waterproofing_Dome
301,Unit_EEDB_Mat_Welded_wire_fabric_Substr,Unit cost of Material Welded wire fabric Substructure (base mat) in EEDB,5.19,dollar/m^2,NULL,NULL,Unit_Mat_Welded_wire_fabric_Substr
302,Unit_EEDB_Mat_Lighting_Power,Unit cost of Material Lighting Power in EEDB,4.96,dollar/m^3,NULL,NULL,Unit_Mat_Lighting_Power
303,Unit_EEDB_Mat_Plumb_drains,Unit cost of Material Plumb drains in EEDB,1.54,dollar/m^3,NULL,NULL,Unit_Mat_Plumb_drains
304,Unit_EEDB_Mat_Special_HVAC,Unit cost of Material Special HVAC in EEDB,8.79,dollar/m^3,NULL,NULL,Unit_Mat_Special_HVAC
305,Unit_EEDB_Mat_other,Unit cost of Material other in EEDB,1.96,dollar/m^3,NULL,NULL,Unit_Mat_other
306,Unit_EEDB_Mat_Misc_steel_frames,Unit cost of Material miscellaneous steel frames in EEDB,16.56,dollar/m^3,NULL,NULL,Unit_Mat_Misc_steel_frames
