ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated
296,24_mat,39561800,2_mat,NO_ALG,million,N/A,24,N/A,0
297,251_mat,242037,25_mat,sum_multi_accounts,million,"c_251.12_mat, c_251.111_mat, c_251.112_mat, c_251.16_mat, c_251.17_mat",251,1,0
298,252_mat,12609700,25_mat,esc_1987,million,"escalate_1987, ref_252_mat",252,12,0
299,253_mat,1690000,25_mat,esc_1987,million,"escalate_1987, ref_253_mat",253,12,0
300,254_mat,182008,25_mat,NO_ALG,million,N/A,254,N/A,0
301,255_mat,536936,25_mat,NO_ALG,million,N/A,255,N/A,0
302,25_mat,15260700,2_mat,NO_ALG,million,N/A,25,N/A,0
303,261_mat,4204130,26_mat,NO_ALG,million,N/A,261,N/A,0
304,262_mat,4510480,26_mat,MWth_scale,million,"c_262_mat, mwth, scale_0.8",262,8,0
305,26_mat,8714610,2_mat,NO_ALG,million,N/A,26,N/A,0
306,2_mat,312642000,,NO_ALG,million,N/A,2,N/A,0
