ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,alg_name,fun_unit,variables
68,2253,"Total,_energy_storage_cost_(M$)",16899463.51,3,225,Unchanged,0.003059317,acc2253,million,"lpulse, istore, ucblss, pthermmw, tdown, dtstor, pnetelmw"
69,226,Total_account_226_cost_(M$),332122997.5,2,22,Unchanged,0.060124373,acc226,million,"cal_acc2261, cal_acc2262, cal_acc2263"
70,2261,"Total,_reactor_cooling_system_cost_(M$)",109472365.6,3,226,Unchanged,0.019817831,acc2261,million,
71,22611,Pumps_and_piping_system_cost_(M$),37134735.98,4,2261,Unchanged,0.006722518,acc22611,million,"uchts, coolwh, pfwdiv, exphts, pnucblkt, pnucshld, lsa"
72,22612,Primary_heat_exchanger_cost_(M$),72337629.6,4,2261,Unchanged,0.013095313,acc22612,million,"ucphx, nphx, pthermmw, exphts, lsa"
73,2262,"Pumps,_piping_cost_(M$)",29300032.53,3,226,Unchanged,0.005304198,acc2262,million,"ucahts, pinjht, exphts, crypmw, vachtmw, trithtmw, fachtmw, ife, tdspmw, tfacmw, lsa"
74,2263,"Total,_cryogenic_system_cost_(M$)",193350599.4,3,226,Unchanged,0.035002344,acc2263,million,"uccry, tmpcry, helpow, lsa, expcry"
75,227,Total_account_227_cost_(M$),252539491.6,2,22,Unchanged,0.045717336,acc227,million,
76,2271,Fuelling_system_cost_(M$),22300000,3,227,Unchanged,0.004036979,acc2271,million,ucf1
77,2272,Fuel_processing_and_purification_cost_(M$),103001575.3,3,227,Unchanged,0.018646421,acc2272,million,"ife, rndfuel, afuel, umass, gain, edrive, fburn, reprat, ucfpr"
78,2273,Atmospheric_recovery_systems_cost_(M$),58061674.55,3,227,Unchanged,0.010510931,acc2273,million,"ftrit, ucdtc, volrci, wsvol"
79,2274,Nuclear_building_ventilation_cost_(M$),69176241.77,3,227,Unchanged,0.012523006,acc2274,million,"ucnbv, volrci, wsvol"
80,228,Instrumentation_and_control_cost_(M$),150000000,2,22,Unchanged,0.027154566,acc228,million,uciac
81,229,Maintenance_equipment_cost_(M$),125000000,2,22,Unchanged,0.022628805,acc229,million,ucme
82,23,Turbine_plant_equipment_cost_(M$),178012556.3,1,2,Unchanged,0.032225692,acc23,million,"ireactor, ucturb, coolwh, pgrossmw, exptpe"
83,24,Total_account_24_cost_(M$),40776153.7,1,2,Unchanged,0.007381725,acc24,million,
84,241,Switchyard_equipment_cost_(M$),18400000,2,24,Unchanged,0.00333096,acc241,million,"ucswyd, lsa"
85,242,Transformers_cost_(M$),7502814.23,2,24,Unchanged,0.001358238,acc242,million,"ucpp, pacpmw, expepe, ucap, fcsht, lsa"
86,243,Low_voltage_equipment_cost_(M$),6573339.47,2,24,Unchanged,0.001189975,acc243,million,"uclv, tlvpmw, lsa"
87,244,Diesel_backup_equipment_cost_(M$),6800000,2,24,Unchanged,0.001231007,acc244,million,"ucdgen, lsa"
88,245,Auxiliary_facilities_cost_(M$),1500000,2,24,Unchanged,0.000271546,acc245,million,"ucaf, lsa"
89,25,Miscellaneous_plant_equipment_cost_(M$),25000000,1,2,Unchanged,0.004525761,acc25,million,"ucmisc, lsa"
90,26,Heat_rejection_system_cost_(M$),50520149.78,1,2,Unchanged,0.009145685,acc26,million,"ireactor, powfmw, pinjwp, tfcmw, pthermmw, pgrossmw, uchrs, lsa"
