ind,cost_element,cost_2018,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
288,224.2_lab,2299649.4271311043,224_lab,category_scale,$,"ref_224_2_lab, scale_pri_flow, f_simp_radw, scale_ap1000",224.2,LPSR_DIRECT,0,collapsed_category_scaled
289,224.3_fac,37392103.55542984,224_fac,category_scale,$,"ref_224_3_fac, scale_P, f_simp_radw, scale_ap1000",224.3,LPSR_DIRECT,0,collapsed_category_scaled
290,224.3_mat,676249.292962986,224_mat,category_scale,$,"ref_224_3_mat, scale_P, f_simp_radw, scale_ap1000",224.3,LPSR_DIRECT,0,collapsed_category_scaled
291,224.3_lab,6861086.299381646,224_lab,category_scale,$,"ref_224_3_lab, scale_P, f_simp_radw, scale_ap1000",224.3,LPSR_DIRECT,0,collapsed_category_scaled
292,225_fac,9335413.309984598,22_fac,,$,,225,LPSR_DIRECT,0,rollup_from_subaccounts
293,225_mat,481318.7414647599,22_mat,,$,,225,LPSR_DIRECT,0,rollup_from_subaccounts
294,225_lab,5228054.607224781,22_lab,,$,,225,LPSR_DIRECT,0,rollup_from_subaccounts
295,225.1_fac,3770287.432417982,225_fac,,$,,225.1,LPSR_DIRECT,0,rollup_from_subaccounts
296,225.1_mat,205015.65329514391,225_mat,,$,,225.1,LPSR_DIRECT,0,rollup_from_subaccounts
297,225.1_lab,2652452.795894424,225_lab,,$,,225.1,LPSR_DIRECT,0,rollup_from_subaccounts
298,225.11_fac,2661183.450978095,225.1_fac,sum_all,$,"ce_225_111_fac, ce_225_112_fac, ce_225_113_fac, ce_225_114_fac",225.11,LPSR_DIRECT,0,rollup_from_moved_variables
299,225.11_mat,85224.11666790154,225.1_mat,sum_all,$,"ce_225_111_mat, ce_225_112_mat, ce_225_113_mat, ce_225_114_mat",225.11,LPSR_DIRECT,0,rollup_from_moved_variables
300,225.11_lab,1070189.4769265929,225.1_lab,sum_all,$,"ce_225_111_lab, ce_225_112_lab, ce_225_113_lab, ce_225_114_lab",225.11,LPSR_DIRECT,0,rollup_from_moved_variables
301,225.12_fac,462918.0405946029,225.1_fac,category_scale,$,"ref_225_12_fac, f_simp_fuel_hndl, scale_ap1000",225.12,LPSR_DIRECT,0,category_scaled
302,225.12_mat,4769.430748779595,225.1_mat,category_scale,$,"ref_225_12_mat, f_simp_fuel_hndl, scale_ap1000",225.12,LPSR_DIRECT,0,category_scaled
303,225.12_lab,59779.77946277526,225.1_lab,category_scale,$,"ref_225_12_lab, f_simp_fuel_hndl, scale_ap1000",225.12,LPSR_DIRECT,0,category_scaled
304,225.13_fac,646185.9408452827,225.1_fac,category_scale,$,"ref_225_13_fac, f_simp_fuel_hndl, scale_ap1000",225.13,LPSR_DIRECT,0,collapsed_category_scaled
305,225.13_mat,115022.10587846281,225.1_mat,category_scale,$,"ref_225_13_mat, f_simp_fuel_hndl, scale_ap1000",225.13,LPSR_DIRECT,0,collapsed_category_scaled
306,225.13_lab,1522483.5395050556,225.1_lab,category_scale,$,"ref_225_13_lab, f_simp_fuel_hndl, scale_ap1000",225.13,LPSR_DIRECT,0,collapsed_category_scaled
307,225.3_fac,336937.1850408049,225_fac,category_scale,$,"ref_225_3_fac, f_simp_fuel_hndl, scale_ap1000",225.3,LPSR_DIRECT,0,collapsed_category_scaled
308,225.3_mat,15982.621821046532,225_mat,category_scale,$,"ref_225_3_mat, f_simp_fuel_hndl, scale_ap1000",225.3,LPSR_DIRECT,0,collapsed_category_scaled
309,225.3_lab,212733.0408812761,225_lab,category_scale,$,"ref_225_3_lab, f_simp_fuel_hndl, scale_ap1000",225.3,LPSR_DIRECT,0,collapsed_category_scaled
310,225.4_fac,5228188.692525811,225_fac,category_scale,$,"ref_225_4_fac, scale_sfp_V, f_simp_fuel_hndl, scale_ap1000",225.4,LPSR_DIRECT,0,collapsed_category_scaled
311,225.4_mat,260320.46634856952,225_mat,category_scale,$,"ref_225_4_mat, scale_sfp_V, f_simp_fuel_hndl, scale_ap1000",225.4,LPSR_DIRECT,0,collapsed_category_scaled
312,225.4_lab,2362868.7704490805,225_lab,category_scale,$,"ref_225_4_lab, scale_sfp_V, f_simp_fuel_hndl, scale_ap1000",225.4,LPSR_DIRECT,0,collapsed_category_scaled
