ind,var_name,var_description,var_value,var_unit,var_alg,var_need,user_input,v_linked
86,f_simp_sfgd,Design simplifications factor: [Simple] A.223 Safeguards system,0.71,1,,,0,"223.1_fac, 223.1_mat, 223.1_lab, 223.3_fac, 223.3_mat, 223.3_lab, 223.4_fac, 223.4_mat, 223.4_lab, 223.5_fac, 223.5_mat, 223.5_lab"
87,f_ss_cont_fac,Standalone steel containment factor: 212.15 Factory cost mult,3.25,1,,,0,212.15_fac
88,f_ss_cont_lab,Standalone steel containment factor: 212.15 Labor cost mult,4.56,1,,,0,212.15_lab
89,f_ss_cont_mat,Standalone steel containment factor: 212.15 Material cost mult,28.98,1,,,0,212.15_mat
90,lrn_222_11_fac,Factory learning factor for 222.11 grouped accounts,0.996281,1,,,0,
91,lrn_222_11_lab,Labor learning factor for 222.11 grouped accounts,0.856159,1,,,0,
92,lrn_222_11_mat,Material learning factor for 222.11 grouped accounts,0.920467,1,,,0,
93,lrn_222_13_fac,Factory learning factor for 222.13 grouped accounts,0.99875,1,,,0,
94,lrn_222_13_lab,Labor learning factor for 222.13 grouped accounts,0.9345,1,,,0,
95,lrn_222_13_mat,Material learning factor for 222.13 grouped accounts,0.9645,1,,,0,
96,ref_211_1_fac,Reference factory equipment cost for 211.1,627151.8,$,,1,0,
97,ref_211_1_lab,Reference site labor cost for 211.1,10886491.93,$,,1,0,
98,ref_211_1_mat,Reference site material cost for 211.1,8218524.721,$,,1,0,
99,ref_211_4_lab,Reference site labor cost for 211.4,4995516.913,$,,1,0,
100,ref_211_4_mat,Reference site material cost for 211.4,3721250.597,$,,1,0,
101,ref_211_711_lab,Aggregated reference lab cost for 211.711,15125864.0,$,,1,0,
102,ref_211_711_mat,Aggregated reference mat cost for 211.711,4440332.0,$,,1,0,
103,ref_211_712_fac,Reference factory equipment cost for 211.712,245650.0,$,,1,0,
104,ref_211_712_lab,Reference site labor cost for 211.712,15646213.59,$,,1,0,
105,ref_211_712_mat,Reference site material cost for 211.712,13402579.35,$,,1,0,
106,ref_212_13_lab,Aggregated reference lab cost for 212.13,11129822.1873,$,,1,0,
107,ref_212_13_mat,Aggregated reference mat cost for 212.13,8063843.09228,$,,1,0,
108,ref_212_140_fac,Aggregated reference fac cost for 212.140,3367569.015,$,,1,0,
109,ref_212_140_lab,Aggregated reference lab cost for 212.140,45289162.7362,$,,1,0,
110,ref_212_140_mat,Aggregated reference mat cost for 212.140,13223212.03753,$,,1,0,
111,ref_212_14111_lab,Reference site labor cost for 212.14111,6302007.272,$,,1,0,
112,ref_212_14111_mat,Reference site material cost for 212.14111,524742.3561,$,,1,0,
113,ref_212_14112_lab,Reference site labor cost for 212.14112,11084965.36,$,,1,0,
114,ref_212_14112_mat,Reference site material cost for 212.14112,6765223.382,$,,1,0,
115,ref_212_14113_lab,Reference site labor cost for 212.14113,3211170.735,$,,1,0,
116,ref_212_14113_mat,Reference site material cost for 212.14113,1638426.483,$,,1,0,
117,ref_212_14114_lab,Reference site labor cost for 212.14114,543039.3004,$,,1,0,
118,ref_212_14114_mat,Reference site material cost for 212.14114,197744.5645,$,,1,0,
119,ref_212_14115_lab,Reference site labor cost for 212.14115,445996.7844,$,,1,0,
120,ref_212_14115_mat,Reference site material cost for 212.14115,26315.43756,$,,1,0,
121,ref_212_14116_lab,Reference site labor cost for 212.14116,45146.76643,$,,1,0,
122,ref_212_14116_mat,Reference site material cost for 212.14116,17199.01812,$,,1,0,
123,ref_212_14117_lab,Reference site labor cost for 212.14117,3895733.578,$,,1,0,
124,ref_212_14117_mat,Reference site material cost for 212.14117,1567178.29,$,,1,0,
125,ref_212_14118_lab,Reference site labor cost for 212.14118,713911.3336,$,,1,0,
126,ref_212_14118_mat,Reference site material cost for 212.14118,293260.4893,$,,1,0,
127,ref_212_14121_lab,Reference site labor cost for 212.14121,1742460.39,$,,1,0,
128,ref_212_14121_mat,Reference site material cost for 212.14121,152723.5216,$,,1,0,
129,ref_212_14122_lab,Reference site labor cost for 212.14122,4112162.548,$,,1,0,
130,ref_212_14122_mat,Reference site material cost for 212.14122,2509679.642,$,,1,0,
131,ref_212_14123_lab,Reference site labor cost for 212.14123,1154019.463,$,,1,0,
132,ref_212_14123_mat,Reference site material cost for 212.14123,588811.3045,$,,1,0,
133,ref_212_14125_lab,Reference site labor cost for 212.14125,159284.254,$,,1,0,
134,ref_212_14125_mat,Reference site material cost for 212.14125,9398.370557,$,,1,0,
135,ref_212_14127_lab,Reference site labor cost for 212.14127,3161753.91,$,,1,0,
136,ref_212_14127_mat,Reference site material cost for 212.14127,1271912.815,$,,1,0,
137,ref_212_14128_lab,Reference site labor cost for 212.14128,141092.5413,$,,1,0,
138,ref_212_14128_mat,Reference site material cost for 212.14128,57956.61844,$,,1,0,
139,ref_212_1419_lab,Reference site labor cost for 212.1419,796421.27,$,,1,0,
140,ref_212_1419_mat,Reference site material cost for 212.1419,232647.2648,$,,1,0,
141,ref_212_142_lab,Aggregated reference lab cost for 212.142,2909128.75293,$,,1,0,
142,ref_212_142_mat,Aggregated reference mat cost for 212.142,3818022.67745,$,,1,0,
143,ref_212_149_lab,Reference site labor cost for 212.149,12549840.5,$,,1,0,
144,ref_212_149_mat,Reference site material cost for 212.149,2458081.163,$,,1,0,
145,ref_212_15_fac,Reference factory equipment cost for 212.15,26940552.12,$,,1,0,
146,ref_212_15_lab,Reference site labor cost for 212.15,32653359.39,$,,1,0,
147,ref_212_15_mat,Reference site material cost for 212.15,1254917.429,$,,1,0,
148,ref_212_21_fac,Aggregated reference fac cost for 212.21,150540.9459,$,,1,0,
149,ref_212_21_lab,Aggregated reference lab cost for 212.21,1048615.7536,$,,1,0,
150,ref_212_21_mat,Aggregated reference mat cost for 212.21,205092.46699,$,,1,0,
151,ref_212_22_fac,Aggregated reference fac cost for 212.22,241104.968599,$,,1,0,
152,ref_212_22_lab,Aggregated reference lab cost for 212.22,67726.426102,$,,1,0,
153,ref_212_22_mat,Aggregated reference mat cost for 212.22,7237.3718877,$,,1,0,
154,ref_212_23_fac,Aggregated reference fac cost for 212.23,1058293.9284,$,,1,0,
155,ref_212_23_lab,Aggregated reference lab cost for 212.23,3960991.54051,$,,1,0,
156,ref_212_23_mat,Aggregated reference mat cost for 212.23,898681.3347659999,$,,1,0,
157,ref_212_24_lab,Reference site labor cost for 212.24,3463484.69,$,,1,0,
158,ref_212_24_mat,Reference site material cost for 212.24,1345201.309,$,,1,0,
159,ref_212_25_fac,Reference factory equipment cost for 212.25,198384.6399,$,,1,0,
160,ref_212_25_lab,Reference site labor cost for 212.25,112115.1431,$,,1,0,
161,ref_212_25_mat,Reference site material cost for 212.25,9150.880133,$,,1,0,
162,ref_212_3_lab,Reference site labor cost for 212.3,0.316078208,$,,1,0,
163,ref_212_3_mat,Reference site material cost for 212.3,0.683921792,$,,1,0,
164,ref_213_13_lab,Aggregated reference lab cost for 213.13,14910944.50129,$,,1,0,
