ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
271,223.3_fac,12725941.18781688,223_fac,category_scale,$,"ref_223_3_fac, scale_P, f_simp_sfgd",223.3,LPSR_DIRECT,1,collapsed_category_scaled
272,223.3_mat,1307957.2804844156,223_mat,category_scale,$,"ref_223_3_mat, scale_P, f_simp_sfgd",223.3,LPSR_DIRECT,1,collapsed_category_scaled
273,223.3_lab,8828443.338181678,223_lab,category_scale,$,"ref_223_3_lab, scale_P, f_simp_sfgd",223.3,LPSR_DIRECT,1,collapsed_category_scaled
274,223.4_fac,4759707.480389864,223_fac,category_scale,$,"ref_223_4_fac, scale_cont_V, f_simp_sfgd",223.4,LPSR_DIRECT,1,collapsed_category_scaled
275,223.4_mat,754158.8425336033,223_mat,category_scale,$,"ref_223_4_mat, scale_cont_V, f_simp_sfgd",223.4,LPSR_DIRECT,1,collapsed_category_scaled
276,223.4_lab,8503675.051616209,223_lab,category_scale,$,"ref_223_4_lab, scale_cont_V, f_simp_sfgd",223.4,LPSR_DIRECT,1,collapsed_category_scaled
277,223.5_fac,1339962.470446115,223_fac,category_scale,$,"ref_223_5_fac, scale_cont_V, f_simp_sfgd",223.5,LPSR_DIRECT,1,collapsed_category_scaled
278,223.5_mat,71418.60827873048,223_mat,category_scale,$,"ref_223_5_mat, scale_cont_V, f_simp_sfgd",223.5,LPSR_DIRECT,1,collapsed_category_scaled
279,223.5_lab,820631.7982082039,223_lab,category_scale,$,"ref_223_5_lab, scale_cont_V, f_simp_sfgd",223.5,LPSR_DIRECT,1,collapsed_category_scaled
280,224_fac,26794891.28158856,22_fac,,$,,224,LPSR_DIRECT,1,rollup_from_subaccounts
281,224_mat,1887697.9819883336,22_mat,,$,,224,LPSR_DIRECT,1,rollup_from_subaccounts
282,224_lab,18782347.93344825,22_lab,,$,,224,LPSR_DIRECT,1,rollup_from_subaccounts
283,224.1_fac,11646081.268603573,224_fac,category_scale,$,"ref_224_1_fac, scale_pri_flow, f_simp_radw",224.1,LPSR_DIRECT,1,collapsed_category_scaled
284,224.1_mat,1600556.1527891876,224_mat,category_scale,$,"ref_224_1_mat, scale_pri_flow, f_simp_radw",224.1,LPSR_DIRECT,1,collapsed_category_scaled
285,224.1_lab,15572648.505977605,224_lab,category_scale,$,"ref_224_1_lab, scale_pri_flow, f_simp_radw",224.1,LPSR_DIRECT,1,collapsed_category_scaled
286,224.2_fac,2047524.5969637253,224_fac,category_scale,$,"ref_224_2_fac, scale_pri_flow, f_simp_radw",224.2,LPSR_DIRECT,1,collapsed_category_scaled
287,224.2_mat,50200.49247127167,224_mat,category_scale,$,"ref_224_2_mat, scale_pri_flow, f_simp_radw",224.2,LPSR_DIRECT,1,collapsed_category_scaled
288,224.2_lab,805741.3367229335,224_lab,category_scale,$,"ref_224_2_lab, scale_pri_flow, f_simp_radw",224.2,LPSR_DIRECT,1,collapsed_category_scaled
289,224.3_fac,13101285.416021263,224_fac,category_scale,$,"ref_224_3_fac, scale_P, f_simp_radw",224.3,LPSR_DIRECT,1,collapsed_category_scaled
290,224.3_mat,236941.33672787464,224_mat,category_scale,$,"ref_224_3_mat, scale_P, f_simp_radw",224.3,LPSR_DIRECT,1,collapsed_category_scaled
291,224.3_lab,2403958.090747718,224_lab,category_scale,$,"ref_224_3_lab, scale_P, f_simp_radw",224.3,LPSR_DIRECT,1,collapsed_category_scaled
292,225_fac,3270902.2125306865,22_fac,,$,,225,LPSR_DIRECT,1,rollup_from_subaccounts
293,225_mat,168642.40329945993,22_mat,,$,,225,LPSR_DIRECT,1,rollup_from_subaccounts
294,225_lab,1831783.426633416,22_lab,,$,,225,LPSR_DIRECT,1,rollup_from_subaccounts
295,225.1_fac,1321017.194962626,225_fac,,$,,225.1,LPSR_DIRECT,1,rollup_from_subaccounts
296,225.1_mat,71832.50828855019,225_mat,,$,,225.1,LPSR_DIRECT,1,rollup_from_subaccounts
297,225.1_lab,929355.0730576696,225_lab,,$,,225.1,LPSR_DIRECT,1,rollup_from_subaccounts
298,225.11_fac,932414.0826678256,225.1_fac,sum_all,$,"ce_225_111_fac, ce_225_112_fac, ce_225_113_fac, ce_225_114_fac",225.11,LPSR_DIRECT,1,rollup_from_moved_variables
299,225.11_mat,29860.461718590203,225.1_mat,sum_all,$,"ce_225_111_mat, ce_225_112_mat, ce_225_113_mat, ce_225_114_mat",225.11,LPSR_DIRECT,1,rollup_from_moved_variables
300,225.11_lab,374968.4145384696,225.1_lab,sum_all,$,"ce_225_111_lab, ce_225_112_lab, ce_225_113_lab, ce_225_114_lab",225.11,LPSR_DIRECT,1,rollup_from_moved_variables
301,225.12_fac,162195.24438000002,225.1_fac,category_scale,$,"ref_225_12_fac, f_simp_fuel_hndl",225.12,LPSR_DIRECT,1,category_scaled
302,225.12_mat,1671.09275944,225.1_mat,category_scale,$,"ref_225_12_mat, f_simp_fuel_hndl",225.12,LPSR_DIRECT,1,category_scaled
303,225.12_lab,20945.3836072,225.1_lab,category_scale,$,"ref_225_12_lab, f_simp_fuel_hndl",225.12,LPSR_DIRECT,1,category_scaled
304,225.13_fac,226407.8679148,225.1_fac,category_scale,$,"ref_225_13_fac, f_simp_fuel_hndl",225.13,LPSR_DIRECT,1,collapsed_category_scaled
305,225.13_mat,40300.95381052,225.1_mat,category_scale,$,"ref_225_13_mat, f_simp_fuel_hndl",225.13,LPSR_DIRECT,1,collapsed_category_scaled
306,225.13_lab,533441.2749119999,225.1_lab,category_scale,$,"ref_225_13_lab, f_simp_fuel_hndl",225.13,LPSR_DIRECT,1,collapsed_category_scaled
307,225.3_fac,118054.6107,225_fac,category_scale,$,"ref_225_3_fac, f_simp_fuel_hndl",225.3,LPSR_DIRECT,1,collapsed_category_scaled
308,225.3_mat,5599.922718000001,225_mat,category_scale,$,"ref_225_3_mat, f_simp_fuel_hndl",225.3,LPSR_DIRECT,1,collapsed_category_scaled
309,225.3_lab,74536.493564,225_lab,category_scale,$,"ref_225_3_lab, f_simp_fuel_hndl",225.3,LPSR_DIRECT,1,collapsed_category_scaled
310,225.4_fac,1831830.4068680604,225_fac,category_scale,$,"ref_225_4_fac, scale_sfp_V, f_simp_fuel_hndl",225.4,LPSR_DIRECT,1,collapsed_category_scaled
311,225.4_mat,91209.97229290976,225_mat,category_scale,$,"ref_225_4_mat, scale_sfp_V, f_simp_fuel_hndl",225.4,LPSR_DIRECT,1,collapsed_category_scaled
312,225.4_lab,827891.8600117461,225_lab,category_scale,$,"ref_225_4_lab, scale_sfp_V, f_simp_fuel_hndl",225.4,LPSR_DIRECT,1,collapsed_category_scaled
313,226_fac,29393532.91593124,22_fac,,$,,226,LPSR_DIRECT,1,rollup_from_subaccounts
314,226_mat,4996191.196851019,22_mat,,$,,226,LPSR_DIRECT,1,rollup_from_subaccounts
315,226_lab,41653854.79138828,22_lab,,$,,226,LPSR_DIRECT,1,rollup_from_subaccounts
316,226.1_fac,884281.722,226_fac,category_scale,$,"ref_226_1_fac, f_simp_other_rx_equip",226.1,LPSR_DIRECT,1,collapsed_category_scaled
317,226.1_mat,100030.5006,226_mat,category_scale,$,"ref_226_1_mat, f_simp_other_rx_equip",226.1,LPSR_DIRECT,1,collapsed_category_scaled
318,226.1_lab,1285762.813,226_lab,category_scale,$,"ref_226_1_lab, f_simp_other_rx_equip",226.1,LPSR_DIRECT,1,collapsed_category_scaled
319,226.3_fac,1008062.44472,226_fac,category_scale,$,"ref_226_3_fac, f_simp_other_rx_equip",226.3,LPSR_DIRECT,1,collapsed_category_scaled
320,226.3_mat,314458.9487118,226_mat,category_scale,$,"ref_226_3_mat, f_simp_other_rx_equip",226.3,LPSR_DIRECT,1,collapsed_category_scaled
321,226.3_lab,1500098.767785,226_lab,category_scale,$,"ref_226_3_lab, f_simp_other_rx_equip",226.3,LPSR_DIRECT,1,collapsed_category_scaled
322,226.4_fac,10779212.801253986,226_fac,category_scale,$,"ref_226_4_fac, scale_pri_flow, f_simp_other_rx_equip",226.4,LPSR_DIRECT,1,collapsed_category_scaled
323,226.4_mat,1786320.5599440474,226_mat,category_scale,$,"ref_226_4_mat, scale_pri_flow, f_simp_other_rx_equip",226.4,LPSR_DIRECT,1,collapsed_category_scaled
324,226.4_lab,15557168.866937764,226_lab,category_scale,$,"ref_226_4_lab, scale_pri_flow, f_simp_other_rx_equip",226.4,LPSR_DIRECT,1,collapsed_category_scaled
325,226.6_fac,190878.9004,226_fac,category_scale,$,"ref_226_6_fac, f_simp_other_rx_equip",226.6,LPSR_DIRECT,1,collapsed_category_scaled
326,226.6_mat,1829.36467,226_mat,category_scale,$,"ref_226_6_mat, f_simp_other_rx_equip",226.6,LPSR_DIRECT,1,collapsed_category_scaled
327,226.6_lab,46626.9427,226_lab,category_scale,$,"ref_226_6_lab, f_simp_other_rx_equip",226.6,LPSR_DIRECT,1,collapsed_category_scaled
328,226.7_fac,12149388.47494475,226_fac,,$,,226.7,LPSR_DIRECT,1,rollup_from_subaccounts
329,226.7_mat,1731078.2074551722,226_mat,,$,,226.7,LPSR_DIRECT,1,rollup_from_subaccounts
330,226.7_lab,22393927.55553552,226_lab,,$,,226.7,LPSR_DIRECT,1,rollup_from_subaccounts
331,226.71_fac,6721644.787227787,226.7_fac,category_scale,$,"ref_226_71_fac, scale_P, f_simp_other_rx_equip",226.71,LPSR_DIRECT,1,collapsed_category_scaled
332,226.71_mat,1138155.514313134,226.7_mat,category_scale,$,"ref_226_71_mat, scale_P, f_simp_other_rx_equip",226.71,LPSR_DIRECT,1,collapsed_category_scaled
333,226.71_lab,14772657.51801433,226.7_lab,category_scale,$,"ref_226_71_lab, scale_P, f_simp_other_rx_equip",226.71,LPSR_DIRECT,1,collapsed_category_scaled
334,226.72_fac,5427743.687716965,226.7_fac,category_scale,$,"ref_226_72_fac, scale_pri_flow, f_simp_other_rx_equip",226.72,LPSR_DIRECT,1,collapsed_category_scaled
335,226.72_mat,592922.6931420382,226.7_mat,category_scale,$,"ref_226_72_mat, scale_pri_flow, f_simp_other_rx_equip",226.72,LPSR_DIRECT,1,collapsed_category_scaled
336,226.72_lab,7621270.037521191,226.7_lab,category_scale,$,"ref_226_72_lab, scale_pri_flow, f_simp_other_rx_equip",226.72,LPSR_DIRECT,1,collapsed_category_scaled
337,226.8_fac,3933935.745,226_fac,category_scale,$,"ref_226_8_fac, f_simp_other_rx_equip",226.8,LPSR_DIRECT,1,collapsed_category_scaled
338,226.8_mat,1004082.496825,226_mat,category_scale,$,"ref_226_8_mat, f_simp_other_rx_equip",226.8,LPSR_DIRECT,1,collapsed_category_scaled
339,226.8_lab,177501.65108,226_lab,category_scale,$,"ref_226_8_lab, f_simp_other_rx_equip",226.8,LPSR_DIRECT,1,collapsed_category_scaled
